0	17.5,22,229	13.5,22,225	12.4,22,185	13.6,24,232	13.6,16,184	19.4,23,238	20.3,28,276	14.9,22,188	17.1,35,228	9.9,16,169	14.6,24,197	32.4,50,420	10.6,20,192
	0	4,12,118	7.1,20,182	5.5,14,131	2.5,6,86	2.6,7,114	6,14,157	2.4,6,81	8,20,174	8,16,159	4,12,111	17.1,30,261	8.4,22,187
		0	4.2,14,111	1.7,4,76	3.1,6,90	5.8,14,165	9.8,22,209	5.9,12,142	21.4,30,227	8.6,18,188	2.8,9,89	20.7,35,340	5.4,14,139
			0	6.7,14,131	4.8,10,124	10.6,20,191	13.4,28,228	5.2,14,132	15.6,35,214	5.9,10,115	5.8,14,135	25.5,45,373	5.3,10,102
				0	3.5,9,211	6.8,16,263	10.8,22,258	6.3,14,223	22.3,35,275	8.8,18,239	3.4,16,205	21.7,40,358	5.6,14,223
					0	6.2,12,251	9,20,251	2.8,6,203	8.9,20,252	6.4,12,219	1.1,4,196	19.9,35,343	7,18,231
						0	4.6,9,114	8,12,121	10.2,20,173	11.2,14,182	6.9,12,142	16.7,24,230	13.3,18,200
							0	7.2,16,170	9.3,20,166	18.8,20,264	13.5,26,205	14.6,24,189	23.7,35,295
								0	6,12,138	8.8,14,150	4.7,14,113	20.6,35,350	8.9,16,190
									0	13.4,20,206	11.4,22,204	13.6,24,208	18.3,26,265
										0	6.6,14,192	26.3,45,366	6,14,131
											0	20.7,40,317	5.1,12,134
												0	29.4,35,361
													0
